,Majors,Jared,Sam,Hunter,Ean,Chaz,Ross,Sawyer,Trevor,Basil,Willis,Matt
QB,Andrew Luck,Drew Brees,Ryan Fitzpatrick,Matthew Stafford,Philip Rivers,Andy Dalton,Carson Wentz,Cam Newton,Patrick Mahomes,Aaron Rodgers,Jared Goff,Tom Brady
WR1,Brandin Cooks,Josh Gordon,Tyreek Hill,Antonio Brown,Doug Baldwin,Michael Thomas,Sterling Shepard,JuJu Smith-Schuster,Davante Adams,T.Y. Hilton,Robert Woods,Tyler Boyd
WR2,Alshon Jeffery,Golden Tate,Odell Beckham Jr.,Tyler Lockett,Devin Funchess,Keenan Allen,Allen Robinson II,Christian Kirk,Julian Edelman,Mohamed Sanu,Julio Jones,Tre'Quan Smith
RB1,Alvin Kamara,Duke Johnson Jr.,Kareem Hunt,Joe Mixon,James White,Kenyan Drake,Christian McCaffrey,James Conner,Tevin Coleman,Tarik Cohen,Nick Chubb,Todd Gurley II
RB2,Ezekiel Elliott,Derrick Henry,Adrian Peterson,Marlon Mack,Matt Breida,Mike Davis,Peyton Barber,David Johnson,Dion Lewis,Melvin Gordon III,Corey Clement,Jordan Howard
TE,Trey Burton,Zach Ertz,Jack Doyle,Benjamin Watson,Travis Kelce,Vance McDonald,Jared Cook,O.J. Howard,Eric Ebron,Jimmy Graham,Greg Olsen,David Njoku
W/R,Sony Michel,Cooper Kupp,Mike Evans,Mark Ingram,Larry Fitzgerald,Marvin Jones Jr.,Amari Cooper,Isaiah Crowell,Jarvis Landry,Saquon Barkley,Calvin Ridley,Aaron Jones
BN1,Kenny Golladay,Sammy Watkins,Austin Hooper,Rob Gronkowski,John Brown,Kyle Rudolph,Marquise Goodwin,Chris Godwin,Evan Engram,D.J. Moore,Phillip Lindsay,Willie Snead IV
BN2,Ben Roethlisberger,George Kittle,LeSean McCoy,Ito Smith,Emmanuel Sanders,Russell Wilson,Spencer Ware,A.J. Green,Chris Carson,Latavius Murray,Nelson Agholor,DeAndre Hopkins
BN3,Mike Williams,Lamar Miller,Deshaun Watson,Kerryon Johnson,Chris Thompson,Dalvin Cook,Alex Collins,Kirk Cousins,Royce Freeman,Adam Thielen,Jay Ajayi,Doug Martin
BN4,Adam Humphries,Demaryius Thomas,T.J. Yeldon,Stefon Diggs,Carlos Hyde,Wendell Smallwood,Michael Crabtree,Elijah McGuire,DeSean Jackson,Mitchell Trubisky,Marcus Mariota,Jalen Richard
BN5,Josh Adams,Matt Ryan,Jameis Winston,Robby Anderson,John Ross,Marquez Valdes-Scantling,Baker Mayfield,Maurice Harris,Courtland Sutton,Anthony Miller,Justin Tucker,Alex Smith
BN6,Denver,Los Angeles,Leonard Fournette,Dallas,Lamar Jackson,Minnesota,Jordan Reed,Jacksonville,Nick Mullens,Houston,Cleveland,Austin Ekeler
IR,Le'Veon Bell,,,,Jerick McKinnon,,Devonta Freeman,D'Onta Foreman,,,Derrius Guice,
K,Wil Lutz,Dustin Hopkins,Greg Zuerlein,Stephen Gostkowski,Harrison Butker,Jason Myers,Robbie Gould,Matt Prater,Mason Crosby,Jake Elliott,Adam Vinatieri,Graham Gano
DEF,Pittsburgh,Los Angeles,Philadelphia,Green Bay,Indianapolis,San Francisco,New York,Washington,Chicago,Kansas City,Buffalo,New England
